gene	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	degree	closeness	betweenness	eigenvector	kcore	clusteringcoeff	leverage	bridging	average_neighbors	class
KIF5A	2.0	0.0	0.0	0.0	135.0	11.0	0.0	7.0	0.0	0.031452298437193486	0.4778315888142478	0.00011020120948539492	0.002463686121066689	265	0.2899081774081774	0.0349	1.3652307883119727e-07	593.047817047817	
PCDHGA6	2.0	0.0	0.0	0.0	137.0	16.0	0.0	0.0	0.0	0.009350683319165632	0.40635047163544574	5.331709694823078e-07	0.00044290418705224407	129	0.8661479365704717	-0.242	5.268455155606427e-09	366.20279720279717	
BABAM1	1.0	0.0	0.0	0.0	20.0	2.0	0.0	1.0	0.0	0.03243313934479826	0.4765956120668163	1.193451932234674e-05	0.004584234698227618	339	0.4727435646790485	-0.1913	2.7006372332402747e-08	1028.8306451612902	
SNRPG	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.04878048780487805	0.4727503168567808	8.844096997196741e-05	0.003261013471787557	365	0.4209870989797938	0.1664	6.356064511429093e-08	614.3351206434318	
RBP4	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.01817825148760871	0.4782948645774692	3.3694773548535414e-05	0.002992669196722546	219	0.2971716489624185	-0.3285	1.459562605546703e-07	1003.4712230215828	
HLA-B	9.0	6.0	1.0	0.0	39.0	15.0	0.0	13.0	0.0	0.0629699862682273	0.4884694007921298	0.0003376112316376288	0.008512323217548079	396	0.20445679324184002	0.2314	1.2942084963444175e-07	723.7206645898233	driver
RBM15	11.0	3.0	0.0	0.0	75.0	6.0	0.0	0.0	0.0	0.01955142875825541	0.4805945759089909	3.6626932900304323e-06	0.004568406655451793	276	0.4931651365850374	-0.5146	3.2537978927506956e-08	1532.1806020066892	driver
CACNA2D1	2.0	2.0	1.0	0.0	194.0	19.0	1.0	10.0	0.0	0.04596874386974433	0.4772202458965237	1.438393668979982e-05	0.01372014409389229	539	0.6792582055739951	-0.1396	2.1886700478044097e-08	1096.2731152204835	false_driver
SDHB	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.008304453017720526	0.4324087426131705	0.0002482369523296938	0.0004771356848285658	83	0.17310336207974006	-0.1217	9.247618254197508e-07	335.11023622047236	driver
MRPL11	1.0	0.0	0.0	0.0	18.0	1.0	0.0	1.0	0.0	0.010069966651409142	0.4215734921159995	0.00010517317453437468	0.0007458067487235388	96	0.483065953654189	-0.1569	7.340596024192242e-07	424.24675324675326	
EEF1E1	1.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	0.0073890015039560575	0.4568756908553162	8.840095601797129e-06	0.0010090431120829224	95	0.30957648546144123	-0.493	1.3947442976037858e-07	966.3008849557524	
