gene	kcore
MTERF3	396
ATIC	223
SPAST	262
BRAT1	309
TAOK2	261
TAOK3	357
MBP	396
NOC2L	396
SOD3	396
FXYD2	539
KL	396
ATP1A3	539
ATP1A4	539
NGB	306
ATP1B4	539
ATP5IF1	396
NPHS2	298
STOML1	78
CAPNS1	188
RAB29	198
CENPX	307
NOSIP	396
NELL1	396
GPR12	342
GPR6	342
SORCS3	194
SOX3	396
SPEN	369
OTUB2	396
RFFL	396
SYVN1	396
CDC42BPB	295
CDC42BPG	305
CHFR	295
CIT	298
CPEB2	343
CPEB3	317
CPEB4	343
DLGAP5	362
SPAG5	252
TACC1	267
TACC3	259
AURKC	225
BIRC6	385
KIF20A	252
KLHL13	295
KLHL9	298
PPP1R13L	396
PRC1	304
PUM1	290
SMC4	313
STMN1	310
GPR31	438
MAP3K4	336
USP34	264
AXL	387
MERTK	131
TYRO3	354
CD3E	396
KLRC2	368
KLRD1	364
TRAV3	396
TRB	396
TYROBP	344
B3GALNT2	54
CHI3L1	396
BCL6B	396
UBE2Z	396
ERRFI1	380
GOLGA6A	165
MARCH6	396
UBL7	396
BAIAP2L1	288
IQSEC2	354
BAIAP2L2	26
CAPN2	375
MT-RNR2	438
PTPRJ	359
BASH	354
BCR/ABL	364
PTAFR	438
SKAP1	396
ZNF750	396
NFATC3	396
DNAJC27	272
IGF1	472
IRS1	396
PEAK1	242
PTPN12	372
RAP2A	259
RAP2B	218
RGS1	433
SH2D3A	389
SH2D3C	259
SRCIN1	367
TNS3	368
VEGF	386
VEGFR1	386
ZC3HC1	384
CASS4	354
CARD9	396
RNF181	396
CDH11	298
MS4A1	387
FKBP8	365
MAL	296
LIME1	370
PIR	335
PPM1F	362
HLTF	396
JPH4	75
SH2D5	75
DOCK3	380
GIPC1	296
MAP2K5	304
NTF3	396
NTF4	375
CD2	354
GJA1	511
BEGAIN	171
OIP5	231
RASD1	599
EXD1	257
BICD2	252
BICDL1	221
BICRA	360
GZMB	305
BIRC7	396
C17ORF47	306
CCDC8	396
CUL7	396
CUL9	396
OBSL1	396
USP9X	396
BLNK	364
DAPP1	357
ITK	365
PTPN13	354
TRPV6	365
SCIMP	389
BLZF1	165
DSPP	368
POMK	200
DHH	51
NTN3	49
DAZ1	269
NLE1	396
PLEKHM2	102
MAZ	219
KIDINS220	295
HERC1	396
PCLAF	396
PTRH2	386
RNF169	396
SKA3	313
STXBP4	172
NMB	438
BSCL2	396
LPIN1	360
SLC7A5	185
BTBD18	386
MEMO1	323
KLRK1	355
MYLK2	522
TREM2	381
BTLA	386
CDC34	388
PTPN18	396
MKI67	289
MAD2L1BP	289
DYNLT3	252
BVES	162
BZW2	386
SCN2B	190
C-ERBB-3	383
C-FGR	395
C10ORF90	396
C16ORF35	242
CD93	396
C3AR1	423
C5AR2	176
CFH	472
CPN2	396
C5AR1	423
GPR32	599
CA9	368
STK39	142
CACNA1H	197
CACNA1I	185
CALCB	438
