gene	nr_patients	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	degree	closeness	betweenness	eigenvector	kcore	clusteringcoeff	leverage	information	bridging	average_neighbors	class
FYTTD1	30.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.00941607271300595	0.4233473590964456	2.159187781524748e-05	0.0005309984485018626	123	0.5074786324786325	-0.4901	0.0024032966306202137	3.081644311251475e-07	620.3194444444445	
ZNF426	41.0	1.0	0.0	0.0	0.0	36.0	4.0	0.0	0.0	0.0	0.06637023474792389	0.5012290649274033	0.00015569348562470534	0.013986981131424771	472	0.5085648215621691	0.076	0.003081445877333377	8.939373942932026e-08	1093.0364532019703	
OR2M5	155.0	3.0	1.0	0.0	0.0	146.0	4.0	0.0	0.0	1.0	0.06695873929248676	0.4914203084832905	1.00893894720417e-05	0.021719932931202952	599	0.766745708088954	-0.0283	0.00308253767006654	9.85662006868502e-09	1208.2490234375	
XCR1	50.0	2.0	0.0	0.0	0.0	47.0	1.0	0.0	0.0	0.0	0.05701955142875826	0.4579290933045874	1.5748763904633206e-05	0.015254860954329059	539	0.5805201234476874	0.0119	0.003057891279531318	1.4765682621690533e-08	927.7935779816513	
SPTBN4	239.0	2.0	1.0	0.0	0.0	219.0	9.0	0.0	8.0	0.0	0.0263519257176486	0.4717877525836804	6.895845715301527e-05	0.0020779048705108017	229	0.3349999382738911	-0.0118	0.002877160714487968	1.2140424260053122e-07	591.9727047146401	
HMGA2	14.0	1.0	0.0	0.0	0.0	11.0	2.0	0.0	0.0	0.0	0.03589877721833519	0.4903645749831661	2.2803704815559514e-05	0.006519461871207692	365	0.31543749085929296	-0.1637	0.0029645907501601077	4.431882808831446e-08	1116.7486338797814	driver
ZFP69	40.0	2.0	1.0	1.0	0.0	35.0	0.0	0.0	1.0	0.0	0.053750081736742304	0.4935454721487123	4.835769430573281e-06	0.013302032119818908	472	0.7360971576411177	-0.1224	0.0030482051832363068	6.97525228684772e-09	1253.3467153284669	
PKN2	80.0	3.0	5.0	0.0	0.0	65.0	5.0	0.0	2.0	0.0	0.034329431766167526	0.4881575587334014	3.0901704014779404e-05	0.006704892306839979	336	0.3785750636132316	-0.1816	0.002953292449549493	6.178566667599816e-08	1152.824761904762	
FAM131A	25.0	2.0	3.0	0.0	0.0	19.0	1.0	0.0	0.0	0.0	0.0015693454521676586	0.3840339510823163	1.2432840755872204e-07	0.00011130223722317569	24	0.7318840579710145	-0.7537	0.0010500193890217939	2.821655200814143e-08	514.125	
CDKN1B	44.0	10.0	10.0	0.0	0.0	13.0	9.0	0.0	2.0	0.0	0.12515529981037074	0.5219275792635064	0.0005690433807493308	0.01677692415231049	396	0.15286323952978606	0.4675	0.003150453041091671	7.472637129075987e-08	808.3380355276907	driver
KCNH7	285.0	7.0	3.0	1.0	0.0	248.0	22.0	0.0	4.0	0.0	0.0028117439351337216	0.3705776873122032	7.116469961469475e-07	0.00012806878304060708	42	0.972314507198228	-0.3211	0.0014749581618809756	2.702551120921116e-08	244.44186046511632	
SLC22A1	51.0	0.0	1.0	1.0	0.0	43.0	4.0	0.0	2.0	0.0	0.041979990845484864	0.4949991908075741	3.7298125192101756e-05	0.008385779040451201	395	0.3701333100052974	-0.1508	0.0030005576659895158	5.824890630140703e-08	1191.8286604361372	
FYB1	122.0	3.0	2.0	0.0	1.0	106.0	6.0	0.0	4.0	0.0	0.02680965147453083	0.4729403760514597	9.823584073582255e-06	0.005176511055501587	338	0.4693422386546604	-0.3093	0.002883591212628671	3.832548626760876e-08	1191.3341463414633	
PTF1A	31.0	0.0	0.0	0.0	0.0	26.0	3.0	0.0	0.0	2.0	0.019093703001373183	0.4677759765087328	1.0109355323313327e-05	0.0035576696413505797	243	0.45582074094996006	-0.4007	0.002763016025183707	5.104630141258134e-08	1212.849315068493	
ANTXR1	67.0	2.0	0.0	0.0	0.0	57.0	4.0	0.0	4.0	0.0	0.024324854508598705	0.4864495196895477	3.706977253870449e-05	0.004993713432116672	302	0.3428542445584442	-0.3812	0.0028522690447483623	1.3965576127750694e-07	1341.6424731182797	
PSEN1	45.0	2.0	0.0	0.0	0.0	35.0	2.0	0.0	5.0	1.0	0.08016739684823122	0.5019529326812617	0.0005019119383162106	0.01573678483636303	483	0.20957885274827712	0.2901	0.003106317074490347	1.1347186895032472e-07	811.1370309951061	
SEMA4C	74.0	5.0	0.0	1.0	0.0	66.0	2.0	0.0	0.0	0.0	0.01615118027855882	0.4671615347018573	2.2525190296172465e-05	0.0024829358914137713	179	0.3227016885553471	-0.2602	0.002690937894854898	9.745737166185626e-08	846.8218623481781	
PTK6	19.0	1.0	1.0	0.0	0.0	15.0	1.0	0.0	1.0	0.0	0.04296083175308965	0.4962359659938997	4.445683516999101e-05	0.008995214245295664	383	0.3248366559008056	-0.1339	0.003005497401949245	6.413113146405616e-08	1234.8508371385085	driver
ISL1	73.0	4.0	0.0	0.0	0.0	66.0	2.0	0.0	1.0	0.0	0.06100830445301773	0.4926233732766396	6.551473048009526e-05	0.012557163208595295	472	0.4268454245615004	0.0647	0.0030689566479415557	4.183574739681637e-08	1032.5176848874596	
AQP4	37.0	2.0	0.0	0.0	0.0	31.0	3.0	0.0	1.0	0.0	0.014778003007912115	0.4805794733203444	2.0601990844642606e-05	0.0028040660981698802	198	0.3147295968534907	-0.4677	0.002650710969843093	1.575972490202562e-07	1209.7433628318586	
TCTEX1D4	6.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0034656378735369122	0.4426723015023012	2.8894692761648363e-07	0.0005306630863203033	53	0.4934687953555878	-0.8063	0.0016705269271351099	4.752579739077599e-08	1091.188679245283	
SORCS2	95.0	0.0	0.0	0.0	0.0	90.0	2.0	0.0	3.0	0.0	0.00869678938076244	0.4586707456061424	5.45742713864333e-06	0.0016640998258745608	120	0.3990658464342675	-0.5882	0.0023542811137881856	1.0553723363372197e-07	1258.548872180451	
CDON	116.0	4.0	1.0	0.0	0.0	103.0	6.0	0.0	2.0	0.0	0.02255934087491009	0.4827488241421762	0.00013733152355914355	0.004494335197438627	265	0.32483990562858106	-0.2879	0.0028257270660349016	4.06290112734834e-07	1200.4028985507246	
