gene	nr_patients	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	degree	closeness	betweenness	eigenvector	kcore	clusteringcoeff	leverage	information	bridging	average_neighbors	class
SMARCC2	136.0	8.0	2.0	2.0	0.0	103.0	15.0	0.0	6.0	0.0	0.05290001961681815	0.4927186030027708	0.00012316296309460448	0.009100325789932423	396	0.2769921306098471	0.0628	0.0030454313124731887	8.474996717342446e-08	993.7663782447465	
SPRY4	28.0	1.0	0.0	0.0	0.0	25.0	1.0	0.0	1.0	0.0	0.0417838226639639	0.4907894736842106	2.1747229463630646e-05	0.008561681038953509	378	0.4622524418541903	-0.1557	0.002999497895306025	3.887693010405838e-08	1189.5712050078248	
ENTPD1	49.0	3.0	0.0	0.0	0.0	37.0	6.0	0.0	3.0	0.0	0.08140979533119727	0.508579980046558	0.0001222997600181029	0.015649551218369622	396	0.23816681517065044	0.1587	0.0031083785606858248	5.2640755232403916e-08	1122.2730923694776	
DIS3L2	86.0	4.0	0.0	0.0	0.0	73.0	5.0	1.0	3.0	0.0	0.0219054469365069	0.4809270731784018	9.665702436617591e-05	0.0017664935949411945	225	0.1966216820091161	-0.0867	0.0028148143982314267	2.4360368856295977e-07	633.3701492537314	
KLHL21	36.0	0.0	1.0	0.0	0.0	32.0	3.0	0.0	0.0	0.0	0.019812986333616688	0.4633821167772626	2.464448046210264e-06	0.002317688477888193	274	0.7144668109195026	-0.3574	0.0027774400984552933	1.4747338295179924e-08	966.973597359736	
ZNF853	18.0	0.0	0.0	0.0	0.0	16.0	2.0	0.0	0.0	0.0	0.053750081736742304	0.4935454721487123	4.835769430573281e-06	0.013302032119818908	472	0.7360971576411177	-0.1224	0.003048205183234481	6.97525228684772e-09	1253.3467153284669	
HYAL2	37.0	0.0	0.0	0.0	0.0	34.0	2.0	0.0	1.0	0.0	0.0035310272673772314	0.4552301006132048	5.583086087074793e-07	0.0010913235975288373	51	0.4556254367575122	-0.8077	0.0016852102575828749	7.050550755532643e-08	2019.2962962962963	
BICDL1	48.0	2.0	1.0	1.0	0.0	37.0	5.0	0.0	2.0	0.0	0.016870463610802328	0.4602582237337106	3.9081945114335295e-06	0.0012828296230379425	221	0.5783790305553042	-0.3926	0.002711149883535269	3.243525809975562e-08	787.6356589147287	
MKNK1	35.0	2.0	0.0	1.0	0.0	31.0	0.0	0.0	1.0	0.0	0.035637219642973915	0.4921002670785468	2.719067805461385e-05	0.008878383358358955	374	0.3816109012412304	-0.2851	0.002962864500673136	6.244369095654937e-08	1457.6	
PWP2	64.0	2.0	3.0	0.0	0.0	56.0	1.0	0.0	2.0	0.0	0.023867128751716468	0.46116036427236	2.8141930727612463e-05	0.0011595698734792775	255	0.5792111997591449	-0.0495	0.002843984227731354	6.631496840138763e-08	533.0356164383562	
KIF5A	155.0	2.0	0.0	0.0	0.0	135.0	11.0	0.0	7.0	0.0	0.031452298437193486	0.4778315888142478	0.00011020120948539492	0.002463686121066689	265	0.2899081774081774	0.0349	0.0029294985604363588	1.3652307883119727e-07	593.047817047817	
PCDHGA6	155.0	2.0	0.0	0.0	0.0	137.0	16.0	0.0	0.0	0.0	0.009350683319165632	0.40635047163544574	5.331709694823078e-07	0.00044290418705224407	129	0.8661479365704717	-0.242	0.002393699829017309	5.268455155606427e-09	366.20279720279717	
BABAM1	24.0	1.0	0.0	0.0	0.0	20.0	2.0	0.0	1.0	0.0	0.032433139344798266	0.4765956120668163	1.193451932234674e-05	0.004584234698227618	339	0.4727435646790485	-0.1913	0.002938440472882381	2.7006372332402747e-08	1028.8306451612902	
SNRPG	7.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0	0.04878048780487805	0.4727503168567808	8.844096997196741e-05	0.003261013471787557	365	0.4209870989797938	0.1664	0.003030210027747337	6.356064511429093e-08	614.3351206434318	
RBP4	21.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.01817825148760871	0.4782948645774692	3.3694773548535414e-05	0.002992669196722546	219	0.2971716489624185	-0.3285	0.002742786777500178	1.459562605546703e-07	1003.4712230215828	
HLA-B	83.0	9.0	6.0	1.0	0.0	39.0	15.0	0.0	13.0	0.0	0.0629699862682273	0.4884694007921298	0.0003376112316376288	0.008512323217548079	396	0.20445679324184	0.2314	0.0030736697507305717	1.2942084963444175e-07	723.7206645898234	driver
RBM15	95.0	11.0	3.0	0.0	0.0	75.0	6.0	0.0	0.0	0.0	0.01955142875825541	0.4805945759089909	3.6626932900304323e-06	0.004568406655451793	276	0.4931651365850374	-0.5146	0.002772965818176822	3.2537978927506956e-08	1532.1806020066892	driver
CACNA2D1	229.0	2.0	2.0	1.0	0.0	194.0	19.0	1.0	10.0	0.0	0.04596874386974433	0.4772202458965237	1.438393668979982e-05	0.01372014409389229	539	0.6792582055739951	-0.1396	0.0030190304643325488	2.1886700478044097e-08	1096.2731152204835	false_driver
SDHB	23.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.008304453017720526	0.4324087426131705	0.0002482369523296938	0.0004771356848285658	83	0.17310336207974006	-0.1217	0.002311825765891423	9.247618254197508e-07	335.11023622047236	driver
MRPL11	21.0	1.0	0.0	0.0	0.0	18.0	1.0	0.0	1.0	0.0	0.010069966651409142	0.4215734921159995	0.00010517317453437468	0.0007458067487235388	96	0.483065953654189	-0.1569	0.002426765381911678	7.340596024192242e-07	424.24675324675326	
EEF1E1	14.0	1.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	0.0073890015039560575	0.4568756908553162	8.840095601797129e-06	0.0010090431120829224	95	0.30957648546144123	-0.493	0.002244648212173218	1.3947442976037858e-07	966.3008849557523	
BCOR	261.0	20.0	9.0	1.0	0.0	194.0	33.0	0.0	4.0	0.0	0.019093703001373183	0.4724290259800439	2.0001732260489644e-05	0.003089419453345377	238	0.3492209198324154	-0.3167	0.002762747411495687	7.311535854747863e-08	1052.277397260274	driver
GBA	56.0	0.0	0.0	0.0	0.0	52.0	4.0	0.0	0.0	0.0	0.014058719675668609	0.4737608426270136	2.9325458722162342e-06	0.003263228331247129	210	0.480460769397957	-0.6409999999999999	0.002627294557829966	5.714914793536878e-08	1456.1627906976746	
SEC11A	12.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.023736349964035838	0.4619264808046637	3.677719127299582e-05	0.0014215500925829465	255	0.6757530097560234	-0.1096	0.002842305391584611	9.039152140433084e-08	601.374655647383	
TTF1	83.0	8.0	4.0	3.0	0.0	60.0	6.0	0.0	2.0	0.0	0.06323154384358858	0.4901602564102564	0.0001529620788406685	0.014673521348709626	472	0.34478793990506595	0.0547	0.0030744586717321148	1.0889031502430156e-07	1005.6225439503619	
MAPKBP1	127.0	6.0	0.0	0.0	0.0	108.0	9.0	0.0	4.0	0.0	0.018505198456810302	0.4800062774639046	1.36548952030221e-05	0.005258887839238007	260	0.4791369069994737	-0.5363	0.0027507588753263442	1.0685308034786438e-07	1592.625441696113	
TTC3	182.0	14.0	3.0	0.0	0.0	146.0	14.0	0.0	5.0	0.0	0.0077813378669979736	0.4709740999661236	4.0355368374591175e-06	0.0013008266858884285	109	0.384560603902578	-0.6227	0.002281622077740669	1.1219042282358257e-07	1208.2857142857142	
ARSI	65.0	4.0	0.0	0.0	0.0	56.0	4.0	1.0	0.0	0.0	0.0007846727260838293	0.34004091252723795	0.0	1.8966728027883192e-05	12	1.0	-0.2919	0.0005621300667493714	0.0	139.41666666666666	
OBSL1	155.0	5.0	3.0	1.0	0.0	134.0	9.0	0.0	3.0	0.0	0.05597332112731315	0.4958980511689744	3.99239803672957e-05	0.007847001948506287	396	0.435265344045472	0.0043	0.003055161157597998	3.918819687218945e-08	1024.6892523364486	
ALDH2	36.0	3.0	2.0	0.0	0.0	27.0	2.0	0.0	2.0	0.0	0.00653893938403191	0.4430313740258988	1.7498800037663844e-05	0.00043211570528388257	83	0.3492929292929293	-0.3861	0.002155393321339707	1.9321213468410738e-07	479.9	driver
PPCDC	9.0	1.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.00039233636304191453	0.34199521434801083	5.95556311863037e-08	2.0828149022038932e-05	6	0.4666666666666667	-0.8891	0.00034608253375897566	1.4505257428803825e-07	320.8333333333333	
RAB3B	20.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	1.0	0.0	0.02890211207742104	0.4790289741581832	0.00012191418222681897	0.002408273551341205	252	0.21269020428684293	0.0369	0.002905561065184293	1.8370374664909497e-07	619.5950226244344	
NUDCD2	10.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.028640554502059767	0.4884537992270594	6.941041057662587e-05	0.004077099125067235	270	0.277744689299186	-0.1601	0.002903148241192448	1.1825597995094953e-07	1034.3219178082193	
TAF5L	59.0	1.0	0.0	0.0	0.0	54.0	4.0	0.0	0.0	0.0	0.016281959066239457	0.4531259259259259	5.923474345774364e-06	0.002401908022621407	216	0.3864166342790517	-0.40299999999999997	0.0026954210090766838	3.9275871556590646e-08	955.7911646586347	
DPT	29.0	0.0	0.0	0.0	0.0	24.0	3.0	0.0	2.0	0.0	0.012489374223500948	0.4727941631113584	4.606048760944066e-05	0.0014546881418278836	155	0.32852025351336456	-0.3823	0.002564612339359542	2.61863537544692e-07	865.3769633507852	
ACADM	43.0	2.0	0.0	0.0	0.0	34.0	3.0	0.0	4.0	0.0	0.019093703001373183	0.4734088657751362	3.4200876713987105e-05	0.003375134073236193	243	0.5079790989973167	-0.3603	0.0027628119000869147	1.492230814258294e-07	1103.3082191780825	
HERC2	490.0	15.0	4.0	4.0	0.0	420.0	31.0	0.0	16.0	0.0	0.03929902569803178	0.484124220456488	5.110398259480201e-05	0.005170119657014184	362	0.34445923460898503	-0.0438	0.002985736768950451	6.086966773033246e-08	898.6339434276207	false_driver
RAX	29.0	0.0	1.0	0.0	0.0	25.0	1.0	0.0	2.0	0.0	0.018766756032171584	0.4628491873732635	1.0381595953772043e-05	0.0025887370088791524	225	0.38934236495212105	-0.2923	0.002755812061154242	4.7346095308782214e-08	895.3554006968642	
FLVCR1	41.0	0.0	1.0	1.0	0.0	33.0	3.0	0.0	3.0	0.0	0.013927940887987971	0.46414155209566293	3.262492331798588e-06	0.0026826576887280604	199	0.4239525201523607	-0.5472	0.00262240851315391	4.4761303843015146e-08	1174.7464788732395	
MRPL32	31.0	0.0	0.0	0.0	0.0	26.0	5.0	0.0	0.0	0.0	0.006669718171712549	0.3529588257016248	5.099670179179083e-07	4.2822605644778426e-05	96	0.9285575616385168	-0.1084	0.0021418143355904206	5.885601638146241e-09	147.44117647058823	
ARL6	17.0	0.0	0.0	0.0	0.0	14.0	1.0	0.0	2.0	0.0	0.0034656378735369122	0.38498137146309536	1.0000190333582538e-05	0.00013483615344405384	47	0.3243831640058055	-0.4899	0.0016601529026478439	2.8151046920991503e-07	309.79245283018867	
PTPRD	476.0	6.0	1.0	1.0	0.0	423.0	31.0	0.0	14.0	0.0	0.0035310272673772314	0.4058651804670913	9.441130106126056e-06	0.00028710361654653847	45	0.3941299790356394	-0.507	0.0016747520760276905	2.916025343033211e-07	559.0555555555555	driver
KIRREL1	109.0	5.0	0.0	0.0	0.0	92.0	7.0	0.0	5.0	0.0	0.030798404498790295	0.4794194175365999	2.1748881498639205e-05	0.005805978979713874	354	0.4766770565117224	-0.2479	0.002924370423035902	5.74282329747365e-08	1155.384288747346	
MADCAM1	15.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.04165304387628327	0.4885318170201891	5.533974853509738e-05	0.006679199879670477	327	0.30459702023044344	-0.0297	0.0029986556201233357	6.560797369189063e-08	982.868131868132	
NPHS2	59.0	1.0	0.0	0.0	0.0	48.0	6.0	0.0	4.0	0.0	0.020924606028902108	0.4712353249314393	7.294196773575528e-06	0.003919720861777321	298	0.5664576802507837	-0.4197	0.0027986935372272524	4.352716987465357e-08	1192.653125	
MED4	25.0	1.0	0.0	1.0	0.0	21.0	1.0	1.0	0.0	0.0	0.039625972667233375	0.4829622611716406	4.654940419374163e-05	0.006515382649996674	359	0.3728172817281728	-0.0351	0.002987596406979975	5.4077320746426474e-08	932.7079207920793	
OR4K1	143.0	7.0	1.0	0.0	0.0	123.0	11.0	1.0	0.0	0.0	0.06695873929248676	0.4914203084832905	1.00893894720417e-05	0.021719932931202952	599	0.766745708088954	-0.0283	0.0030825376700642586	9.856620068685018e-09	1208.2490234375	false_driver
IGLL1	21.0	1.0	0.0	0.0	0.0	17.0	1.0	0.0	1.0	1.0	0.013993330281828288	0.4419686723310791	1.1656565674416756e-05	0.0015928004874075387	197	0.7048396296783818	-0.418	0.0026235850828223873	1.0059248710919342e-07	811.0514018691589	
DIS3L	82.0	5.0	0.0	0.0	0.0	65.0	8.0	0.0	4.0	0.0	0.005885045445628719	0.39025697297573175	1.188015929824367e-07	0.0002102129563966444	90	0.936828963795256	-0.5398	0.002081804367166525	4.008309281568821e-09	401.56666666666666	
CAPN3	77.0	1.0	0.0	0.0	0.0	64.0	5.0	1.0	6.0	0.0	0.008566010593081803	0.4690528769476138	2.1053813874881185e-05	0.0015957139534669065	112	0.2934820904286553	-0.5045	0.002343316848273509	2.578239399370713e-07	1268.3816793893131	
KCNS2	89.0	3.0	0.0	1.0	0.0	81.0	4.0	0.0	0.0	0.0	0.0028117439351337216	0.3705776873122032	7.116469961469475e-07	0.00012806878304060708	42	0.972314507198228	-0.3211	0.0014749581618810422	2.702551120921116e-08	244.44186046511632	
KHDRBS1	45.0	1.0	0.0	2.0	0.0	38.0	2.0	0.0	2.0	0.0	0.06395082717583209	0.49916767307504	0.00042570286477700665	0.008570359453228166	371	0.1796283853790557	0.2006	0.003076059682724173	1.6064003767977585e-07	855.7413087934559	
TECRL	134.0	2.0	2.0	0.0	0.0	115.0	9.0	0.0	6.0	0.0	0.009285293925325313	0.4560582113142278	2.8067193161617316e-06	0.0009426095386727305	131	0.8327839376685646	-0.4998	0.0023949333194528233	4.666864685051962e-08	827.8943661971831	
IFNA4	27.0	0.0	0.0	0.0	0.0	26.0	1.0	0.0	0.0	0.0	0.057804224154842085	0.4823529411764706	1.8706286104034812e-05	0.012360889296014038	472	0.43414572902948095	0.0122	0.003060434741211778	1.7448207790666546e-08	1018.2285067873303	
P2RY11	16.0	0.0	0.0	1.0	0.0	14.0	1.0	0.0	0.0	0.0	0.0448571241744589	0.4778614504890167	1.0755423565169791e-05	0.011383935312318558	438	0.6508352663275947	-0.1357	0.0030141169603848514	1.833666442061488e-08	1105.572886297376	
CRTC2	72.0	6.0	0.0	0.0	0.0	61.0	3.0	0.0	2.0	0.0	0.05322696658601975	0.4961876642548912	7.283664644519884e-05	0.009612561479996295	395	0.26875617650525396	0.0476	0.003046577155697519	5.4917918216550745e-08	1013.8366093366092	
ROPN1	22.0	1.0	0.0	0.0	0.0	19.0	2.0	0.0	0.0	0.0	0.0027463545412934024	0.3989200751252087	9.495095577414577e-06	0.00030999121340328383	32	0.3240418118466899	-0.4895	0.0014579145980297091	2.2553772892801762e-07	593.452380952381	
MTHFD1L	79.0	3.0	0.0	0.0	0.0	67.0	7.0	0.0	2.0	0.0	0.00039233636304191453	0.37467231790675454	6.61769729417624e-10	6.259128087111129e-05	6	0.8666666666666667	-0.7917	0.00033959573135143014	5.841320643451149e-10	1113.5	
GMEB1	46.0	0.0	0.0	0.0	0.0	42.0	2.0	0.0	2.0	0.0	0.023147845419472964	0.4776972574498657	2.078511027397909e-05	0.004212509012974066	266	0.33010035050655395	-0.2695	0.002835114282288443	6.900135848147772e-08	1125.1666666666667	
CARD6	138.0	3.0	4.0	0.0	0.0	123.0	7.0	0.0	1.0	0.0	0.08886418622899367	0.5114031567683253	0.00010229430234292588	0.017063797439749253	396	0.28915938146497305	0.1891	0.0031183689892876586	3.9547816634266826e-08	1123.1810154525383	
CRYAB	17.0	0.0	0.0	0.0	0.0	14.0	2.0	0.0	1.0	0.0	0.055646374158111564	0.4939918599392726	0.0003739020858484527	0.011131613825699662	401	0.3133448538052119	0.0511	0.003053930348255217	1.6762450932991493e-07	1019.813160987074	
RHBDL1	30.0	0.0	0.0	0.0	0.0	29.0	1.0	0.0	0.0	0.0	0.0009154515137644676	0.4082379007501135	1.5490962945500646e-07	0.00018569691360273609	14	0.42857142857142855	-0.8966	0.0007109990710812471	1.838145757290925e-07	1256.642857142857	
GNG2	15.0	2.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	0.15510364218923692	0.5190049548632322	0.0009045385130675439	0.030091203740024608	599	0.2150198114797764	0.5357	0.0031657042787763727	6.242090791233518e-08	788.3229342327149	
SIGLECL1	47.0	1.0	0.0	0.0	0.0	44.0	1.0	0.0	1.0	0.0	0.004708036356502975	0.43599612270498345	1.591810848197362e-06	0.0006534535223262531	71	0.6490610328638498	-0.6826	0.001913355818095561	9.158486248973584e-08	961.9027777777777	
MCM6	81.0	3.0	0.0	0.0	0.0	68.0	5.0	1.0	4.0	0.0	0.02347479238867456	0.4605770389109746	2.6064994899217067e-05	0.0020639557736888453	241	0.3118065389583106	-0.0776	0.002839174570946005	5.551603512147119e-08	664.1030640668523	
PIANP	23.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.00039233636304191453	0.358763225185915	0.0	4.2926528294426755e-05	6	1.0	-0.7903	0.0003395711269568638	0.0	673.1666666666666	
PNPLA2	20.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.017916693912247438	0.4758393229409752	8.036871755841991e-05	0.0015309652443082436	184	0.27138311809844656	-0.1483	0.002735552494713982	2.3182785365142797e-07	592.3175182481751	
PPP1R11	11.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	2.0	0.0	0.028967501471261363	0.4840169641726801	2.675847858398232e-05	0.004636836705006006	299	0.2666312574691276	-0.2352	0.0029069779316971953	7.593685325680347e-08	1032.0248306997744	
ZNF418	86.0	2.0	0.0	0.0	0.0	78.0	6.0	0.0	0.0	0.0	0.053750081736742304	0.4935454721487123	4.835769430573281e-06	0.013302032119818908	472	0.7360971576411177	-0.1224	0.0030482051832347178	6.97525228684772e-09	1253.3467153284669	
MMRN1	187.0	7.0	0.0	0.0	0.0	161.0	18.0	0.0	0.0	1.0	0.003400248479696593	0.3896901437162369	1.783597284932867e-06	0.00013050144141184793	51	0.5746606334841629	-0.6562	0.001652604052325796	1.4374046062342545e-07	406.5961538461538	
F2	77.0	2.0	1.0	0.0	0.0	67.0	4.0	0.0	2.0	1.0	0.07402079382724122	0.4833133177422413	0.00042880284993125417	0.017103089783741386	551	0.3731273803163653	0.2121	0.003096134219524787	1.28844158213651e-07	848.267667844523	
RAB39A	22.0	0.0	1.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0	0.01379716210030733	0.4218758620689655	1.788598989734537e-05	0.0005026735634816934	145	0.4373730534867976	-0.1762	0.002615287113354841	1.0241062445143783e-07	404.6872037914692	
PDIA2	44.0	2.0	0.0	0.0	0.0	38.0	3.0	0.0	1.0	0.0	0.016478127247760415	0.4844002407272497	2.5431570435397283e-05	0.0038248535982700576	212	0.32242458736482643	-0.4778	0.0027008237491061697	1.5632399787752093e-07	1468.1984126984128	
SYNE3	117.0	3.0	1.0	0.0	0.0	101.0	10.0	0.0	2.0	0.0	0.005034983325704571	0.4273458894539764	4.9665708699653864e-06	0.00041288925530313903	72	0.2573479152426521	-0.6152	0.0019647930497608728	1.9187515355473105e-07	667.2467532467532	
IFT22	12.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	0.007977506048518929	0.410671607723086	4.079075763519492e-06	0.0004079337340318376	102	0.6650860317030213	-0.3934	0.002294469815184757	5.494047231898358e-08	495.09016393442624	
ATP6V1E1	19.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	3.0	0.0	0.012358595435820309	0.44929196780069336	1.8696053397013863e-05	0.001262952295988193	133	0.3828098615332658	-0.2447	0.00255835440180144	1.1455488585050185e-07	600.984126984127	
RAPH1	89.0	2.0	2.0	0.0	0.0	80.0	3.0	0.0	2.0	0.0	0.05231151507225528	0.5008187057898873	8.369863496358793e-05	0.009933184454076436	387	0.28528160200250313	-0.0237	0.003043584165702193	7.675024951891969e-08	1144.4	
H3F3A	25.0	0.0	0.0	0.0	0.0	23.0	2.0	0.0	0.0	0.0	0.005558098476427124	0.43098297824371545	9.17464894505123e-06	0.0007799037963853791	79	0.3809523809523809	-0.6111	0.0020387099246694865	2.072822814026661e-07	826.9764705882353	driver
PAPSS2	61.0	3.0	2.0	0.0	0.0	50.0	4.0	0.0	2.0	0.0	0.003204080298175636	0.4395677042913397	1.0089527382589801e-07	0.0008379784028365884	49	0.4634353741496599	-0.8819	0.0016079190095079489	3.1177541810955934e-08	1570.7142857142858	
CBR3	10.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0033348590858562747	0.4233473590964456	0.00012173935198424247	0.0001890473296605079	32	0.323921568627451	-0.3978	0.001613076633791974	4.111668615145502e-06	466.47058823529403	
NANOS1	4.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.007192833322435101	0.4555419856423699	2.8316796819646558e-05	0.0008772734008020839	93	0.25521267723102586	-0.4622	0.0022246423639886077	3.709712625750985e-07	799.5545454545454	
